"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000247627.2",44.5417167920004,-4.18830519564445,0.338121217770828,-12.3869931122844,3.07352883040203e-35,7.40866282529763e-34
"ENSG00000247828.8",964.538061976577,1.15256673049578,0.112579298428027,10.2378212210358,1.34224972168207e-24,2.3406783520913e-23
"ENSG00000248019.3",34.6380647159053,1.67488576015568,0.285189729976086,5.87288245020647,4.28282170825701e-09,3.05794151404985e-08
"ENSG00000248127.1",21.4757641628295,3.45801414010329,0.403432139227689,8.57148899124186,1.02155484520825e-17,1.29376125151609e-16
"ENSG00000248174.6",18.8779845578712,1.92893127482562,0.359938115719027,5.35906365729649,8.36543778301043e-08,5.30094929417931e-07
"ENSG00000248202.2",10.6483314849456,1.28199221902036,0.414097864326608,3.09586773915169,0.00196237871336659,0.00643567911570726
"ENSG00000248208.1",3.6476499374229,-2.33122071396161,0.855026408652017,-2.72648972051855,0.00640119464405976,0.0184018968387048
"ENSG00000248283.2",1.61306429698405,3.36268068785731,1.13381166762834,2.96581944238696,0.00301877661080752,0.00944025089965069
"ENSG00000248309.7",9.58680863557609,1.56432680968104,0.463445803112189,3.37542556039148,0.000737016273762686,0.00266293118237525
"ENSG00000248322.1",0.925295607592287,-3.44468736783976,1.44476051595028,-2.38426184119106,0.0171134210129576,0.0436550318118316
"ENSG00000248323.7",34.3893357841939,1.52611904833358,0.225752356678207,6.76014669697974,1.37852091207459e-11,1.21574436808413e-10
"ENSG00000248360.7",9.53791098399594,1.96387974140456,0.513341012666445,3.82568252476767,0.000130410267111529,0.000546675454145713
"ENSG00000248429.5",11.2517768050502,-2.19801808569727,0.415190309157208,-5.29400141867234,1.1966850347299e-07,7.45850568520894e-07
"ENSG00000248441.7",21.4104780917366,1.08936771352499,0.343653079544906,3.16996348459215,0.00152458095625556,0.00513180925705474
"ENSG00000248491.6",13.8400195047172,7.15013084221696,0.941223661879786,7.59663311899418,3.03934630866813e-14,3.17187594422052e-13
"ENSG00000248498.4",1.45652699971641,3.91239561684678,1.2755026431119,3.06733634616509,0.00215975687512881,0.00700873253740426
"ENSG00000248528.1",4.79618250159278,2.03859222791268,0.625105131657756,3.26119899624949,0.00110942151667303,0.00385583765798648
"ENSG00000248538.8",4.64487616371257,3.83929555536473,0.949388856711694,4.04396526062305,5.25547097293667e-05,0.000234238629277139
"ENSG00000248550.4",34.5310725459728,4.2937864338758,0.422188498958421,10.1703064969059,2.69060681834237e-24,4.60257869020765e-23
"ENSG00000248641.1",50.333648221125,1.43908618711544,0.201425934059921,7.14449305563271,9.0328624087351e-13,8.51575001243672e-12
"ENSG00000248677.2",1.57725077240137,-2.90779731986748,1.22455740252308,-2.37457003965372,0.0175694025810329,0.0446827396329755
"ENSG00000248708.2",16.9866809554849,1.57769792021635,0.346530179026836,4.55284421301202,5.29254657808284e-06,2.72417925090576e-05
"ENSG00000248713.1",10.9570100736383,1.96077675783212,0.458303668978532,4.27833528411916,1.88296250031076e-05,9.00991031115466e-05
"ENSG00000248727.6",5.18804019451968,-1.23542353174549,0.515065166245832,-2.39857713685076,0.0164589094680709,0.0422576654360454
"ENSG00000248744.1",14.9857579204707,7.26256549934394,0.947122367673501,7.66803292502067,1.74654060429222e-14,1.85140180199086e-13
"ENSG00000248869.1",2.75825942517599,2.38801838365736,1.01948221802876,2.34238355650259,0.0191610120511934,0.0481439202574078
"ENSG00000248869.7",43.8732369569154,2.69784926906659,0.235922758648018,11.4353074053852,2.7854842425859e-30,5.79144117618729e-29
"ENSG00000248876.1",7.55240498109758,-1.53528800695768,0.451412083933909,-3.40107866315439,0.000671205101679154,0.00244450119879768
"ENSG00000248969.1",2.57597073429165,-2.64441501838074,0.920057235384752,-2.8741853405184,0.00405071177496729,0.0122462850371653
"ENSG00000249026.2",15.1412961202697,-1.35616716259087,0.339031109136026,-4.00012602397131,6.3308760533824e-05,0.000279211855425587
"ENSG00000249069.8",2.70194658183392,-3.1271361419068,0.981867396080872,-3.18488642599681,0.00144810829005216,0.00490074355324968
"ENSG00000249106.1",3.13661382050161,2.41404165403852,0.957077083566795,2.52230640090344,0.0116588106593839,0.0312382801277651
"ENSG00000249158.6",265.516230057486,-1.08090267622247,0.0891328075671295,-12.1268779221209,7.60956067085091e-34,1.76323081809519e-32
"ENSG00000249212.1",3.02349928737674,2.30884929281936,0.82738045803028,2.79055333058744,0.00526180309507613,0.01545141763932
"ENSG00000249328.3",7.02951321842166,1.66276457189338,0.487333036991827,3.41196768057665,0.00064495759604533,0.0023597612819025
"ENSG00000249362.2",15.1925481136009,2.63522617963726,0.423326436836036,6.22504514325419,4.81417372814721e-10,3.73334180963028e-09
"ENSG00000249378.6",2.01535767711053,-3.94634814276256,1.09134406115232,-3.61604399862289,0.000299139552962331,0.00117530022814983
"ENSG00000249379.2",4.3772801937646,-3.46340870157226,0.840912992289924,-4.11862907735664,3.81133061961178e-05,0.000174138939306036
